episode,p99_latency,throughput,gpu_utilization
0,27.18626159103315,4.200349447801387,0.0
1,27.67605433824473,4.059095447780947,0.0
2,27.677474410610465,4.085182331820328,0.0
3,27.44647634331239,4.092347710237828,0.0
4,27.426334154594223,4.099556812368916,0.0
5,28.00753044574669,4.176711078275682,0.0
6,27.677158371022852,4.099556812368916,0.0
7,27.991934332241897,4.076323017638503,0.0
8,28.00390983009691,4.188634682865466,0.0
9,28.01090186160109,4.189301829689024,0.0
10,27.431864657975552,4.053755371226226,0.0
11,26.669411100015097,4.113936418874917,0.0
12,27.875787215568657,4.046141066955172,0.0
13,27.87832224164111,4.164323301144366,0.0
14,28.00753044574669,4.065105880620949,0.0
15,28.025173688248934,4.076323017638503,0.0
16,27.42636121707844,4.058867803010678,0.0
17,28.00390983009691,4.080521842099485,0.0
18,26.651814762669595,4.32454306640438,0.0
19,28.025173688248934,4.184143380332031,0.0
20,27.875643055703527,4.080521842099485,0.0
21,27.8797147127085,4.11684137543823,0.0
22,27.402196443597017,4.138958093172666,0.0
23,27.678536602140245,4.186273412173702,0.0
24,27.678536602140245,4.17686635026751,0.0
25,27.191962858894655,4.113936418874917,0.0
26,27.86590990961404,4.058867803010678,0.0
27,26.650372944075052,4.179588034152977,0.0
28,27.424343893715612,4.167148344520028,0.0
29,29.888676983214843,4.065105880620949,0.0
30,27.700075853420817,4.076323017638503,0.0
31,27.897289667111966,4.092347710237828,0.0
32,28.028794303898714,4.209410233788648,0.0
33,27.894610585062722,4.195814334845072,0.0
34,27.4472107617844,4.220640602937156,0.0
35,27.674322788174255,4.059095447780947,0.0
36,28.01452247725087,4.085182331820328,0.0
37,28.025173688248934,4.185608086063362,0.0
38,28.327725123889593,4.080521842099485,0.0
39,27.42636121707844,4.076323017638503,0.0
40,27.19078819953568,4.178220403962752,0.0
41,27.992078492107026,4.049091894025671,0.0
42,28.00390983009691,4.046142917217799,0.0
43,27.26405038263009,4.102584192224154,0.0
44,27.875572429122677,4.059095447780947,0.0
45,27.37810612900126,4.088932433745723,0.0
46,27.294297961535456,4.11684137543823,0.0
47,27.875643055703527,4.049090041064983,0.0
48,27.3800500724738,4.167148344520028,0.0
49,27.67763186827697,4.046141066955172,0.0
50,27.8982312007125,4.179588034152977,0.0
51,28.00390972620857,4.076323017638503,0.0
52,27.286182728338527,4.059095447780947,0.0
53,27.42433258542966,4.046142917217799,0.0
54,27.676081400728947,4.0754911874085815,0.0
55,27.78599426183429,4.113936418874917,0.0
56,27.898752764760204,4.167148344520028,0.0
57,28.028794303898714,4.058867803010678,0.0
58,27.07609900793173,4.188634682865466,0.0
59,27.894610585062722,4.058867803010678,0.0
60,27.267144676286822,4.205270895227618,0.0
61,27.69981714261268,4.076323017638503,0.0
62,28.011636280073102,4.046141066955172,0.0
63,28.00753044574669,4.284591436422671,0.0
64,27.427508813953196,4.198692134465194,0.0
65,27.677373157468832,4.186273412173702,0.0
66,26.65098230864701,4.196112691790372,0.0
67,27.450096958962174,4.076323017638503,0.0
68,27.900910386650086,4.303149654630825,0.0
69,27.894610585062722,4.046142917217799,0.0
70,27.874510237592897,4.083521163613629,0.0
71,27.87992949915448,4.179302972878825,0.0
72,28.00390972620857,4.228123922934191,0.0
73,27.897289771000306,4.065105880620949,0.0
74,28.00635031875487,4.099556812368916,0.0
75,28.00753044574669,4.203527579055578,0.0
76,27.676313049052865,4.113936418874917,0.0
77,27.424329972189174,4.214786989908538,0.0
78,28.011636280073102,4.0754911874085815,0.0
79,27.67406407736612,4.046142917217799,0.0
80,27.821637929928496,4.19179510456999,0.0
81,28.145789233105468,4.080521842099485,0.0
82,27.678751388586225,4.059095447780947,0.0
83,27.67763186827697,4.0754911874085815,0.0
84,26.853204391078844,4.059095447780947,0.0
85,27.984942300737714,4.179302972878825,0.0
86,26.83760486958261,4.046141066955172,0.0
87,27.383158287656972,4.184143380332031,0.0
88,27.8982312007125,4.184143380332031,0.0
89,28.020094116717242,4.053755371226226,0.0
90,29.96347292615763,4.093432161549539,0.0
91,27.8982312007125,4.059095447780947,0.0
92,28.00753044574669,4.085182331820328,0.0
93,30.26780812270461,4.301967307338375,0.0
94,27.451361958931905,4.164323301144366,0.0
95,27.084082701815863,4.076323017638503,0.0
96,27.678607228721095,4.046142917217799,0.0
97,27.894610585062722,4.164323301144366,0.0
98,26.669411100015097,4.065105880620949,0.0
99,28.032001553026756,4.093432161549539,0.0
100,28.00390972620857,4.088932433745723,0.0
101,27.895345003534732,4.366963343110225,0.0
102,26.636893158922703,4.184143380332031,0.0
103,27.674322788174255,4.046141066955172,0.0
104,27.678751388586225,4.099556812368916,0.0
105,27.8982312007125,4.138958093172666,0.0
106,27.424343893715612,4.059095447780947,0.0
107,26.971381446731964,4.167148344520028,0.0
108,29.98138258770383,4.058867803010678,0.0
109,27.678607228721095,4.188634682865466,0.0
110,27.874510237592897,4.093527811303166,0.0
111,27.992078492107026,4.053755371226226,0.0
112,27.99827857315036,4.347188283310473,0.0
113,26.638540888028405,4.11684137543823,0.0
114,27.875643055703527,4.176711078275682,0.0
115,27.678751388586225,4.088188511005704,0.0
116,29.971154544559656,4.058867803010678,0.0
117,27.421807546091692,4.088932433745723,0.0
118,27.89875286864854,4.228123922934191,0.0
119,28.025908106720944,4.246768840600345,0.0
120,26.64611349480809,4.076323017638503,0.0
121,27.67635489030121,4.342063125661633,0.0
122,27.29429534829497,4.277112163733491,0.0
123,27.67635489030121,4.28621932258643,0.0
124,29.889421686632307,4.249338559917262,0.0
125,27.266067705992917,4.099556812368916,0.0
126,27.875787215568657,4.179588034152977,0.0
127,26.636903550336193,4.080521842099485,0.0
128,27.8797147127085,4.301967307338375,0.0
129,26.650443570655902,4.093527811303166,0.0
130,27.8797147127085,4.085182331820328,0.0
131,27.8982312007125,4.053755371226226,0.0
132,27.875572429122677,4.088932433745723,0.0
133,27.3800500724738,4.076323017638503,0.0
134,27.875787215568657,4.246768840600345,0.0
135,27.984942300737714,4.046142917217799,0.0
136,27.87832224164111,4.113936418874917,0.0
137,27.426334154594223,4.053755371226226,0.0
138,27.674052769080166,4.176711078275682,0.0
139,27.424343893715612,4.046141066955172,0.0
140,27.874510237592897,4.059095447780947,0.0
141,27.6983091765523,4.059095447780947,0.0
142,27.188784017130633,4.056715459000889,0.0
143,27.18626159103315,4.092347710237828,0.0
144,27.42433258542966,4.138958093172666,0.0
145,27.874510237592897,4.059095447780947,0.0
146,28.00390983009691,4.184143380332031,0.0
147,26.652086341425132,4.065105880620949,0.0
148,28.00390983009691,4.088932433745723,0.0
149,28.01452247725087,4.049090041064983,0.0
150,28.00753044574669,4.347188283310473,0.0
151,28.025173688248934,4.179588034152977,0.0
152,27.29132565048319,4.056715459000889,0.0
153,28.025173584360594,4.195814334845072,0.0
154,27.875572429122677,4.088932433745723,0.0
155,28.011636280073102,4.065105880620949,0.0
156,27.676313049052865,4.228123922934191,0.0
157,28.01090186160109,4.11684137543823,0.0
158,27.894610585062722,4.221648374365708,0.0
159,28.00239660203425,4.113936418874917,0.0
160,27.897289771000306,4.076323017638503,0.0
161,27.483645775711622,4.209138840976867,0.0
162,27.874495458828772,4.179588034152977,0.0
163,28.00753044574669,4.0754911874085815,0.0
164,27.87846640150624,4.080521842099485,0.0
165,28.025173584360594,4.092347710237828,0.0
166,27.382081317363067,4.188634682865466,0.0
167,27.678607228721095,4.176711078275682,0.0
168,26.640554663008018,4.221648374365708,0.0
169,27.984942300737714,4.309936996932657,0.0
170,26.967065529727087,4.053755371226226,0.0
171,27.267359462732802,4.179588034152977,0.0
172,27.87978533928935,4.053755371226226,0.0
173,28.025173688248934,4.053755371226226,0.0
174,27.69757475808029,4.099556812368916,0.0
175,27.874495458828772,4.092347710237828,0.0
176,27.483603934463282,4.11684137543823,0.0
177,27.87825161506026,4.184143380332031,0.0
178,28.00390983009691,4.085182331820328,0.0
179,27.676340111537083,4.184143380332031,0.0
180,27.911002142309833,4.184143380332031,0.0
181,27.450096958962174,4.059095447780947,0.0
182,27.874495458828772,4.113936418874917,0.0
183,29.89230788381008,4.185608086063362,0.0
184,27.87978533928935,4.113936418874917,0.0
185,28.011636280073102,4.185608086063362,0.0
186,27.894610585062722,4.065105880620949,0.0
187,27.674322788174255,4.176711078275682,0.0
188,27.89875286864854,4.093527811303166,0.0
189,27.8982312007125,4.065105880620949,0.0
190,28.028794303898714,4.058867803010678,0.0
191,29.89230788381008,4.059095447780947,0.0
192,27.875787215568657,4.0754911874085815,0.0
193,27.67743256936212,4.138958093172666,0.0
194,29.996175328747707,4.0754911874085815,0.0
195,27.67745963184634,4.0754911874085815,0.0
196,27.875572429122677,4.0754911874085815,0.0
197,27.67763186827697,4.058867803010678,0.0
198,29.89230788381008,4.088188511005704,0.0
199,27.18626159103315,4.138958093172666,0.0
200,27.992078492107026,4.11684137543823,0.0
201,27.894610585062722,4.093527811303166,0.0
202,27.875787215568657,4.093432161549539,0.0
203,27.67743256936212,4.046141066955172,0.0
204,26.64480001375865,4.099556812368916,0.0
