alpha,beta,gamma,epsilon,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput,energy_per_job,cost_per_job,total_energy,total_cost
1.0,0.05,0.05,0.0,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.05,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.1,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.2,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.3,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.4,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
1.0,0.05,0.05,0.5,7.833213344056844,33.747833553716404,47.542421908450244,14.240449313481,82.19311522061881,16.299297187628753,17.139771069430765,16299.297187628754,17139.771069430764
