scheduler,workload,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,std_latency_ms,throughput,total_energy,total_cost,energy_per_job,cost_per_job,slo_violations,slo_violation_rate,slo_compliance_rate,cold_starts,warm_hits,cold_start_rate,num_jobs,simulation_time_s,hw_0_util,hw_1_util,hw_2_util,hw_3_util,hw_4_util,hw_5_util,hw_6_util,gnn_prediction_time_ms,rl_decision_time_ms,optimizer_time_ms,total_scheduling_overhead_ms,total_simulation_time_s,overhead_percentage
Dandelion-Learn,scale_100,8.035368864001246,26.035368864001263,26.888854256683512,13.580568838986592,8.394839101309726,76.54516922524981,1439.2738841385717,1439.2738841385717,14.392738841385716,14.392738841385716,0,0.0,1.0,35,65,0.35,100,1.3064181712856309,10.016882935990685,43.147605574175316,18.770758926394418,21.757663084045785,0.0,0.0,8.238276251131673,0.25734424591064453,0.0,0.0,0.0,0.19095110893249512,13.476970484712957
Dandelion-Learn,scale_500,7.8332133440564,25.83583870493166,30.250748833138275,13.88363533038606,8.631193553615375,85.03761846243319,6974.610059993614,6974.610059993614,13.94922011998723,13.94922011998723,0,0.0,1.0,174,326,0.348,500,5.8797507390318495,46.22073100105126,10.395133345197614,17.908437423782143,32.86741513746955,0.0,0.0,5.61456446684833,0.25622129440307617,0.0,0.0,0.0,0.9503316879272461,13.480624589185094
Dandelion-Learn,scale_1000,8.636893158922021,26.100254587021254,30.25040476084051,14.105551689116885,8.527600188605204,82.74033699277946,14081.577420276371,14051.471582858314,14.081577420276371,14.051471582858314,0,0.0,1.0,348,652,0.348,1000,12.086003469955259,30.02102952747654,47.191737771604814,19.054569254813742,9.031491209342644,0.0,0.4981934266840569,4.859019035534363,0.25214195251464844,0.0,0.0,0.0,1.9158368110656738,13.16093056873648
Dandelion-Learn,scale_2000,8.636546297999814,26.636546298000496,27.87846640150624,14.162089552089961,8.45624107931773,80.98705586713223,29159.562737398224,28905.89869415353,14.579781368699113,14.452949347076764,0,0.0,1.0,683,1317,0.3415,2000,24.69530443582503,18.056915251470635,45.94432614940761,30.948215727399436,8.035953859856981,0.9177093171365881,1.1366410870374513,4.464447311542634,0.25120019912719727,0.0,0.0,0.0,3.8154029846191406,13.167688977539155
Dandelion-Learn,scale_5000,8.636546297999814,26.636546298000496,28.430528243301275,14.174921312564559,8.588818813186625,81.9689898765421,73975.37598102256,73212.41617875628,14.795075196204513,14.642483235751255,0,0.0,1.0,1740,3260,0.348,5000,60.99867776253885,17.058992021256433,9.307994936041121,45.038783770392676,31.418312288288767,0.7525277793759071,1.749033992950867,5.472484282537685,0.25934457778930664,0.0,0.0,0.0,9.4698965549469,13.693105108620736
