scheduler,workload,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,std_latency_ms,throughput,total_energy,total_cost,energy_per_job,cost_per_job,slo_violations,slo_violation_rate,slo_compliance_rate,cold_starts,warm_hits,cold_start_rate,num_jobs,simulation_time_s,hw_0_util,hw_1_util,hw_2_util,hw_3_util,hw_4_util,hw_5_util,hw_6_util,components
Baseline,azure_trace_day_01,22.541894053682565,27.44706082069115,30.250748833138275,18.99150303202866,8.397792433873185,37.85174656262654,7823.942765044677,7224.5696793578645,31.29577106017871,28.89827871743146,0,0.0,1.0,181,69,0.724,250,6.604715044954916,11.070347791441675,11.070012153844004,10.725860996647663,10.595986023921858,8.897796468334688,9.25205804036687,10.274094486613404,none
GNN-Only,azure_trace_day_01,4.554188046610452,26.47853129589892,28.62658156786604,9.878901911790543,9.391163491151664,37.96493881443075,6653.441276880503,5709.4593903911855,26.613765107522013,22.837837561564744,0,0.0,1.0,81,169,0.324,250,6.585023124150885,0.0,0.0,0.0,0.0,17.81448164026763,10.856090009731203,7.51364072143712,gnn
RL-Only,azure_trace_day_01,5.784674817537194,26.266295993875573,29.0806485162649,11.138246064867179,9.907808062562305,37.96493881443075,6189.054201626835,5526.749279669033,24.75621680650734,22.106997118676134,0,0.0,1.0,95,155,0.38,250,6.585023124150885,1.2022011183468906,3.8535387266152963,3.677091772148844,1.9480983954272062,4.249904086008351,15.865588584891402,11.47970880417298,rl
GNN+RL,azure_trace_day_01,4.4074900748201085,32.54160875401157,45.272608149534456,11.574311648564729,11.656553977914967,37.96493881443075,6692.515394199132,5666.749402079947,26.77006157679653,22.666997608319786,0,0.0,1.0,84,166,0.336,250,6.585023124150885,0.38732312956512127,1.5829956416609818,0.8321295909584995,1.4781542304707902,18.952399542401732,12.202114960581726,1.9441144402784254,gnn+rl
Dandelion-Learn,azure_trace_day_01,7.831480240068078,25.684707073208973,30.250748833138275,13.492352709870397,8.248561021533627,37.93963000980738,3213.747609006877,3213.747609006877,12.854990436027508,12.854990436027508,0,0.0,1.0,77,173,0.308,250,6.5894158676659496,2.717415502928798,20.436742536755876,10.87943062519619,14.737769427368807,0.0,0.0,0.0,full
