scheduler,workload,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,std_latency_ms,throughput,total_energy,total_cost,energy_per_job,cost_per_job,slo_violations,slo_violation_rate,slo_compliance_rate,cold_starts,warm_hits,cold_start_rate,num_jobs,simulation_time_s,hw_0_util,hw_1_util,hw_2_util,hw_3_util,hw_4_util,hw_5_util,hw_6_util,run_id
Dandelion-Learn,azure_trace_day_01,8.636546297999814,26.636546298000496,27.87846640150624,14.358207768886386,8.489758400006032,81.63242621083654,29631.306396500957,29329.110084979086,14.815653198250478,14.664555042489543,0,0.0,1.0,700,1300,0.35,2000,4.155156850814819,9.995738604666183,45.65706540414488,30.86816734338332,17.85825105799372,1.9477105107156039,0.5191912994339171,4.581921903258615,0
Dandelion-Learn,azure_trace_day_01,8.636546297999814,26.636546298000496,27.87846640150624,14.358207768886386,8.489758400006032,81.63242621083654,29631.306396500957,29329.110084979086,14.815653198250478,14.664555042489543,0,0.0,1.0,700,1300,0.35,2000,4.123405456542969,30.86816734338332,9.995738604666183,45.65706540414488,17.85825105799372,0.5191912994339171,1.9477105107156039,4.581921903258615,1
Dandelion-Learn,azure_trace_day_01,8.636546297999814,26.636546298000496,27.87846640150624,14.358207768886386,8.489758400006032,81.63242621083654,29631.306396500957,29329.110084979086,14.815653198250478,14.664555042489543,0,0.0,1.0,700,1300,0.35,2000,3.999382734298706,30.86816734338332,9.995738604666183,17.85825105799372,45.65706540414488,0.5191912994339171,1.9477105107156039,4.581921903258615,2
Dandelion-Learn,azure_trace_day_01,8.636546297999814,26.636546298000496,27.87846640150624,14.358207768886386,8.489758400006032,81.63242621083654,29631.306396500957,29329.110084979086,14.815653198250478,14.664555042489543,0,0.0,1.0,700,1300,0.35,2000,4.048700571060181,45.65706540414488,30.86816734338332,9.995738604666183,17.85825105799372,0.5191912994339171,1.9477105107156039,4.581921903258615,3
Dandelion-Learn,azure_trace_day_01,8.636546297999814,26.636546298000496,27.87846640150624,14.358207768886386,8.489758400006032,81.63242621083654,29631.306396500957,29329.110084979086,14.815653198250478,14.664555042489543,0,0.0,1.0,700,1300,0.35,2000,4.169031620025635,30.86816734338332,45.65706540414488,17.85825105799372,9.995738604666183,0.5191912994339171,1.9477105107156039,4.581921903258615,4
Dandelion-Learn,azure_trace_day_02,8.636546297999814,26.636546298000496,28.349446782571768,14.226810228142178,8.522706220270656,85.19229793960162,30048.074971106365,29665.183871806596,15.024037485553183,14.832591935903297,0,0.0,1.0,694,1306,0.347,2000,4.094992637634277,9.1060677904251,45.44420328587279,32.90957298720604,19.520589113815593,2.3426297730247154,0.9193074879720509,5.613491406094892,0
Dandelion-Learn,azure_trace_day_02,8.636546297999814,26.636546298000496,28.349446782571768,14.226810228142178,8.522706220270656,85.19229793960162,30048.074971106365,29665.183871806596,15.024037485553183,14.832591935903297,0,0.0,1.0,694,1306,0.347,2000,4.021806240081787,45.44420328587279,19.520589113815593,32.90957298720604,9.1060677904251,2.3426297730247154,0.9193074879720509,5.613491406094892,1
Dandelion-Learn,azure_trace_day_02,8.636546297999814,26.636546298000496,28.349446782571768,14.226810228142178,8.522706220270656,85.19229793960162,30048.074971106365,29665.183871806596,15.024037485553183,14.832591935903297,0,0.0,1.0,694,1306,0.347,2000,4.140743970870972,32.76616697455727,45.44420328587279,19.55395558606715,9.216107330822306,0.9193074879720509,2.3426297730247154,5.613491406094892,2
Dandelion-Learn,azure_trace_day_02,8.636546297999814,26.636546298000496,28.349446782571768,14.226810228142178,8.522706220270656,85.19229793960162,30048.074971106365,29665.183871806596,15.024037485553183,14.832591935903297,0,0.0,1.0,694,1306,0.347,2000,4.140652656555176,9.1060677904251,19.520589113815593,45.44420328587279,32.90957298720604,0.9193074879720509,2.3426297730247154,5.613491406094892,3
Dandelion-Learn,azure_trace_day_02,8.636546297999814,26.636546298000496,28.349446782571768,14.223076400131372,8.523833102493501,85.19229793960162,30048.074971106365,29665.183871806596,15.024037485553183,14.832591935903297,0,0.0,1.0,694,1306,0.347,2000,4.0517895221710205,45.44420328587279,32.90957298720604,9.1060677904251,19.520589113815593,0.9200889198470291,2.341848341149737,5.613491406094892,4
Dandelion-Learn,azure_trace_day_03,8.636546297999814,26.636546297999608,27.380050072473797,14.196105829200842,8.414327610783507,80.63812272762861,29047.938667833627,28894.915569915815,14.523969333916813,14.447457784957907,0,0.0,1.0,688,1312,0.344,2000,4.060960531234741,30.753302223045704,45.727268799340216,8.600158705905216,17.268156257464227,0.5235509221384999,0.7103986128674977,5.533913786648508,0
Dandelion-Learn,azure_trace_day_03,8.636546297999814,26.636546297999608,27.380050072473797,14.196105829200842,8.414327610783507,80.63812272762861,29047.938667833627,28894.915569915815,14.523969333916813,14.447457784957907,0,0.0,1.0,688,1312,0.344,2000,4.140158653259277,45.82139999266234,17.278175167833844,8.496008602213468,30.753302223045704,0.5235509221384999,0.7103986128674977,5.533913786648508,1
Dandelion-Learn,azure_trace_day_03,8.636546297999814,26.636546297999608,27.380050072473797,14.196105829200842,8.414327610783507,80.63812272762861,29047.938667833627,28894.915569915815,14.523969333916813,14.447457784957907,0,0.0,1.0,688,1312,0.344,2000,4.1056809425354,17.1740250641421,45.82139999266234,8.600158705905216,30.753302223045704,0.8831521106643793,0.35079742434161826,5.533913786648508,2
Dandelion-Learn,azure_trace_day_03,8.636546297999814,26.636546297999608,27.380050072473797,14.196105829200842,8.414327610783507,80.63812272762861,29047.938667833627,28894.915569915815,14.523969333916813,14.447457784957907,0,0.0,1.0,688,1312,0.344,2000,4.001255035400391,45.727268799340216,8.600158705905216,30.753302223045704,17.268156257464227,0.8831521106643793,0.35079742434161826,5.533913786648508,3
Dandelion-Learn,azure_trace_day_03,8.636546297999814,26.636546297999608,27.380050072473797,14.196105829200842,8.414327610783507,80.63812272762861,29047.938667833627,28894.915569915815,14.523969333916813,14.447457784957907,0,0.0,1.0,688,1312,0.344,2000,4.1192708015441895,8.496008602213468,45.82139999266234,17.278175167833844,30.753302223045704,0.35079742434161826,0.8831521106643793,5.533913786648508,4
Dandelion-Learn,synthetic_chain,26.414723523403794,49.91450934598216,68.29274239325702,26.213623125188583,14.291655798327222,86.15644285651881,53946.85794420268,53086.88521681819,26.973428972101342,26.543442608409094,0,0.0,1.0,1160,840,0.58,2000,4.081721305847168,43.87676650634126,47.696961008260395,48.75229719994909,48.30420230080379,7.4092191145069,0.0,10.767792414523482,0
Dandelion-Learn,synthetic_chain,26.414723523403794,49.91450934598216,68.29274239325702,26.213623125188583,14.291655798327222,86.15644285651881,53946.85794420268,53086.88521681819,26.973428972101342,26.543442608409094,0,0.0,1.0,1160,840,0.58,2000,3.997993230819702,48.30420230080379,43.87676650634126,48.75229719994909,47.696961008260395,7.4092191145069,0.0,10.767792414523482,1
