0,1,2,3,4,5,6
-0.02416841949214426,-0.024012460755506115,-0.02534132268299355,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024621038420446457,-0.024166094949772326,-0.02534132268299355,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02413644733044504,-0.024130135956269127,-0.02482912144073483,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02417190492421365,-0.02405285202379194,-0.02482912144073483,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02414261932634177,-0.02410513684152793,-0.02499479190826484,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024022717031992484,-0.02408688192242298,-0.022423456883291785,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02409815828590059,-0.02408688192242298,-0.023173286939517788,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024108187505889937,-0.0240455443816613,-0.0234827804982884,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024108187505889937,-0.02407359921542586,-0.02376897584261292,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024108187505889937,-0.024079853691871437,-0.023854918805553033,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024117696350508762,-0.024058918067446526,-0.023923837233011135,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024117696350508762,-0.024090591116139003,-0.023959014985502167,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02412749930475761,-0.02401523271379929,-0.023996540902896633,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024127000563087628,-0.024015017380825846,-0.024010453191959245,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024127000563087628,-0.02403573352000871,-0.02401859411256987,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024162891284373388,-0.024065211179887115,-0.023961630723318972,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024162891284373388,-0.024015138223857493,-0.02390712822832517,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024162891284373388,-0.024024742631247504,-0.02397658548513352,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024162891284373388,-0.024010024792440913,-0.02398379446072262,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024162891284373388,-0.024029605901025503,-0.024010006242894535,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024164619374905286,-0.02397436243075114,-0.024048392253622444,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024173889341400575,-0.024075883147280507,-0.024073693301676073,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024110433897653064,-0.024079005901237106,-0.024080089736631522,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024110433897653064,-0.024098861646840653,-0.02409812767859482,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024119847992988608,-0.024114011005105535,-0.0241147537376073,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024119847992988608,-0.024000399950683204,-0.024102214188667037,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024119847992988608,-0.024109916655607758,-0.02410577052996031,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02413825007303599,-0.024124908744518087,-0.024093980568000696,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02415716553953571,-0.02413023317642156,-0.02409518579835185,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02415716553953571,-0.024140947843072833,-0.024138077971782978,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.0241660806874321,-0.02416159436511664,-0.024148733280944006,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024183629452238675,-0.024179120713246682,-0.02416436862637475,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02417560613388534,-0.024185573727834368,-0.024163430488435163,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02419426669764815,-0.024194626882900513,-0.024193896368730913,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024171897146426213,-0.024200340779194605,-0.024142172764202642,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.024060537893804797,-0.024200340779194605,-0.02410936516489254,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
-0.02412740305357277,-0.024200340779194605,-0.02412012531597461,-0.026035368864001263,-0.0687962719115127,-0.06880109593275947,-0.08838327756636011
