episode,reward,latency
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
0,-24.085780060369302,27.18626159103315
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
1,-24.393244131237115,27.67605433824473
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
2,-23.957464490021138,27.677474410610465
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
3,-23.954943499935553,27.44647634331239
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
4,-24.23561883013987,27.426334154594223
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
5,-23.14312495629219,28.00753044574669
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
6,-23.67093232612811,27.677158371022852
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
7,-23.796554148984484,27.991934332241897
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
8,-24.55071477780907,28.00390983009691
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
9,-24.174494104770883,28.01090186160109
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
10,-24.142668431295856,27.431864657975552
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
11,-24.279759919047336,26.669411100015097
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
12,-23.904345284100227,27.875787215568657
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
13,-24.10325009354584,27.87832224164111
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
14,-24.177877738408,28.00753044574669
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
15,-23.69355776176068,28.025173688248934
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
16,-23.161558851957878,27.42636121707844
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
17,-24.742757784838727,28.00390983009691
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
18,-23.99416961512774,26.651814762669595
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
19,-24.431223281283028,28.025173688248934
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
20,-24.234806245910754,27.875643055703527
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
21,-25.00639094290598,27.8797147127085
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
22,-24.074528385863122,27.402196443597017
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
23,-24.492198793121755,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
24,-24.490089659227557,27.678536602140245
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
25,-22.999547868913023,27.191962858894655
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
26,-25.046119123621693,27.86590990961404
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
27,-24.073224984854875,26.650372944075052
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
28,-24.20087335759134,27.424343893715612
29,-25.01121609764513,29.888676983214843
