epoch,loss,runtime_error,memory_error
1,17.064899444580078,7.071948051452637,39.27488899230957
2,14.470004081726074,6.926432132720947,139.47358322143555
3,12.17238187789917,8.497867822647095,483.8720703125
4,9.438772201538086,366.43716764450073,73104.97286987305
5,14.343939304351807,70197.546875,55204351.0
6,8.617988109588623,105830.55833911896,27543769.846961975
7,12.99837589263916,386373.90234375,15817477.0
8,6.720695734024048,31564.319720506668,451172.5495147705
9,5.153446078300476,2029.2483794689178,5971.839334487915
10,5.016624927520752,293.6798095703125,401.7888488769531
11,2.8152467012405396,21.240476489067078,51.06984043121338
12,2.5617326498031616,8.334359645843506,109.18935775756836
13,1.8037019968032837,4.827337026596069,93.07085418701172
14,1.7607803344726562,6.493889331817627,258.13153076171875
15,1.553110122680664,5.038269639015198,140.69279098510742
16,1.5197296738624573,4.967488765716553,76.52974510192871
17,1.5606850385665894,6.304719924926758,70.2221622467041
18,1.1740817427635193,5.618190765380859,48.62839317321777
19,0.971288800239563,3.1638678312301636,36.73820400238037
20,1.0563044548034668,2.885580062866211,65.35964584350586
21,0.9791367948055267,3.098166823387146,39.55105781555176
22,1.1864497065544128,4.348779678344727,37.5327091217041
23,0.8032530844211578,2.704481601715088,25.143617630004883
24,0.8255743384361267,2.5804537534713745,46.35398578643799
25,0.8965566754341125,3.153821587562561,41.56801223754883
26,1.124758392572403,3.1451256275177,22.176658630371094
27,0.9904009401798248,2.721699595451355,20.786712646484375
28,0.8755590319633484,2.944140911102295,35.57118606567383
29,1.6267807483673096,2.6409149169921875,136.5428352355957
30,1.2457417249679565,2.149296522140503,87.21379470825195
31,0.627620667219162,2.2109426259994507,24.084784030914307
32,0.831009030342102,2.5477041006088257,16.70253086090088
33,0.8223012983798981,4.4774249792099,15.377354145050049
34,0.46856027841567993,2.145205080509186,14.732170104980469
35,0.47932879626750946,1.6518771052360535,20.40232276916504
36,0.4280954450368881,1.6190600991249084,17.14699935913086
37,0.5389934778213501,1.9989514350891113,12.35429334640503
38,0.398063063621521,3.3149499893188477,10.531345844268799
39,0.27424751222133636,1.7279072999954224,9.516310691833496
40,0.555047869682312,1.8123193979263306,11.285837650299072
41,0.30159716308116913,1.4697049260139465,12.52311086654663
42,0.21023790538311005,1.052209198474884,8.144286632537842
43,0.21719547361135483,1.5088931918144226,6.8444859981536865
44,0.16834428161382675,0.9082053005695343,7.277568101882935
